Point géographique;Forme géographique;Idcar_200m;I_est_200;Idcar_1km;i_est_1km;Idcar_nat;Numéro de groupe;Population du carreau;Nombre de ménages d’un seul individu;Nombre de ménages de 5 individus ou plus;Nombre de ménages propriétaires;Nombre de ménages monoparentaux;Somme des niveaux de vie winsorisés des individus;Somme de la surface des logements du carreau;Nombre de ménages en logements collectifs;Nombre de ménages en maison;Nombre de logements sociaux;Nombre de ménages pauvres;Nombre de ménages;lcog_geo;com_arm_code;Code Officiel Commune
48.75224638064018, 2.304402027767313;"{""coordinates"": [[[2.30318740223062, 48.75125866228982], [2.302909756134145, 48.753046492598344], [2.305616702573415, 48.753234092288004], [2.305894252849818, 48.751446254211956], [2.30318740223062, 48.75125866228982]]], ""type"": ""Polygon""}";CRS3035RES200mN2878200E3756000;0;CRS3035RES1000mN2878000E3756000;0;CRS3035RES200mN2878200E3756000;850936;733.0;155.0;12.0;235.0;32.0;27701745.8;25463.0;356.0;10.0;0.0;22.0;366.0;92002;92002;92002
48.747070407449975, 2.3079413292588806;"{""coordinates"": [[[2.306726752416559, 48.7460827263043], [2.30644927776813, 48.74787057122042], [2.309155955358117, 48.748058081892125], [2.309433334209385, 48.74627022921329], [2.306726752416559, 48.7460827263043]]], ""type"": ""Polygon""}";CRS3035RES200mN2877600E3756200;0;CRS3035RES1000mN2877000E3756000;0;CRS3035RES200mN2877600E3756200;848866;222.5;20.0;7.0;74.0;7.0;8278645.6;8329.0;11.0;76.0;0.0;1.0;87.0;92002;92002;92002
48.75770639508428, 2.278926650616549;"{""coordinates"": [[[2.277712399002153, 48.75671840499199], [2.277433789418151, 48.758506156128554], [2.280140951510384, 48.758694378487235], [2.280419465263522, 48.75690661955639], [2.277712399002153, 48.75671840499199]]], ""type"": ""Polygon""}";CRS3035RES200mN2879000E3754200;0;CRS3035RES1000mN2879000E3754000;0;CRS3035RES1000mN2879000E3754000;850841;688.5;106.0;33.0;46.0;49.0;16236320.4;22100.0;245.0;42.0;0.0;31.0;287.0;9200292019;92002;92002
48.7527193784207, 2.285175912495679;"{""coordinates"": [[[2.28396165219254, 48.75173145451957], [2.283683310143851, 48.75351922809581], [2.286390222066627, 48.75370729562997], [2.286668468304782, 48.7519195142669], [2.28396165219254, 48.75173145451957]]], ""type"": ""Polygon""}";CRS3035RES200mN2878400E3754600;0;CRS3035RES1000mN2878000E3754000;0;CRS3035RES1000mN2878000E3754000;850812;186.0;13.0;7.0;57.0;5.0;7399940.7;7111.0;24.0;43.0;0.0;0.0;67.0;92002;92002;92002
48.76156066094149, 2.3084285142129892;"{""coordinates"": [[[2.307213597684764, 48.760572986832656], [2.306936017161677, 48.76236082128345], [2.309643480034592, 48.76254832834372], [2.309920964689965, 48.76076048612702], [2.307213597684764, 48.760572986832656]]], ""type"": ""Polygon""}";CRS3035RES200mN2879200E3756400;0;CRS3035RES1000mN2879000E3756000;0;CRS3035RES1000mN2879000E3756000;850887;617.5;87.0;19.0;113.0;36.0;18722416.6;17757.3;211.0;52.0;72.0;21.0;263.0;92002;92002;92002
48.76353597621006, 2.3108584891226056;"{""coordinates"": [[[2.309643480034592, 48.76254832834372], [2.309365970164074, 48.764336168284], [2.312073547509309, 48.764523617368056], [2.312350961501044, 48.76273576966379], [2.309643480034592, 48.76254832834372]]], ""type"": ""Polygon""}";CRS3035RES200mN2879400E3756600;0;CRS3035RES1000mN2879000E3756000;0;CRS3035RES1000mN2879000E3756000;850878;224.5;23.0;1.0;34.0;4.0;8153521.8;6403.0;93.0;5.0;0.0;2.0;98.0;92002;92002;92002
48.73606501222205, 2.2795616139095776;"{""coordinates"": [[[2.278347842398021, 48.735077026194546], [2.278069440598948, 48.73686479699207], [2.280775434646329, 48.73705299156405], [2.281053740718991, 48.7352652129783], [2.278347842398021, 48.735077026194546]]], ""type"": ""Polygon""}";CRS3035RES200mN2876600E3754000;0;CRS3035RES1000mN2876000E3754000;0;CRS3035RES200mN2876600E3754000;848792;149.0;13.0;9.0;28.0;9.0;3680095.1;4072.0;31.0;22.0;0.0;3.0;53.0;92002;92002;92002
48.73860505404404, 2.29010756404079;"{""coordinates"": [[[2.288893528573379, 48.73761718109526], [2.288615484446224, 48.73940498074282], [2.291321648741286, 48.739592920300936], [2.291599597123245, 48.73780511287498], [2.288893528573379, 48.73761718109526]]], ""type"": ""Polygon""}";CRS3035RES200mN2876800E3754800;0;CRS3035RES1000mN2876000E3754000;0;CRS3035RES200mN2876800E3754800;848814;1193.0;146.0;64.0;4.0;90.0;20136968.6;26550.0;454.0;4.0;453.0;108.0;458.0;92002;92002;92002
48.73916856539386, 2.2982259970441508;"{""coordinates"": [[[2.297011790046831, 48.73818077933407], [2.29673403316299, 48.7399686023088], [2.299440253277151, 48.74015634475712], [2.299717914408069, 48.73836851401195], [2.297011790046831, 48.73818077933407]]], ""type"": ""Polygon""}";CRS3035RES200mN2876800E3755400;0;CRS3035RES1000mN2876000E3755000;0;CRS3035RES1000mN2876000E3755000;848773;246.0;37.0;10.0;80.0;7.0;8654382.0;8872.0;38.0;65.0;0.0;6.0;103.0;9200291377;92002;92002
48.76316095432307, 2.3054434675032565;"{""coordinates"": [[[2.304228572888551, 48.76217324848376], [2.303950871268176, 48.76396107288819], [2.306658411414947, 48.76414865345711], [2.306936017161677, 48.76236082128345], [2.304228572888551, 48.76217324848376]]], ""type"": ""Polygon""}";CRS3035RES200mN2879400E3756200;0;CRS3035RES1000mN2879000E3756000;0;CRS3035RES1000mN2879000E3756000;850874;151.0;23.0;3.0;54.0;7.0;5669279.3;5458.0;62.0;5.0;0.0;4.0;67.0;92002;92002;92002
